phrase,frequency,category,parent_node,notes
the,14386,,,
suv,10902,,,
down,9785,,,
straight,9102,,,
street,8842,,,
down the,8399,,,
the street,7932,,,
sedan,7075,,,
down the street,6951,,,
white,6882,,,
black,5990,,,
runs,5689,,,
a white,5361,,,
runs down,5006,,,
runs down the,4892,,,
a black,4609,,,
gray,4549,,,
intersection,3971,,,
a gray,3589,,,
red,3560,,,
followed,3303,,,
right,3232,,,
followed by,3148,,,
road,3012,,,
turns,2910,,,
and,2768,,,
left,2728,,,
truck,2697,,,
vehicle,2662,,,
drives,2607,,,
black suv,2537,,,
another,2533,,,
pickup,2515,,,
a red,2476,,,
suv runs,2451,,,
white suv,2360,,,
straight down,2355,,,
going,2321,,,
suv runs down,2229,,,
keeps,2204,,,
silver,2167,,,
car,2137,,,
keeps straight,2101,,,
a black suv,2036,,,
straight down the,1975,,,
going straight,1957,,,
a white suv,1954,,,
blue,1885,,,
a silver,1826,,,
pickup truck,1818,,,
the intersection,1813,,,
goes,1765,,,
the road,1737,,,
on the,1727,,,
gray suv,1727,,,
street followed,1719,,,
cars,1685,,,
an intersection,1683,,,
the street followed,1681,,,
street followed by,1631,,,
sedan runs,1603,,,
behind,1545,,,
by another,1529,,,
followed by another,1514,,,
gray sedan,1489,,,
turns right,1444,,,
with,1422,,,
by a,1409,,,
sedan runs down,1379,,,
a gray suv,1377,,,
at the,1342,,,
a blue,1330,,,
goes straight,1318,,,
turns left,1315,,,
followed by a,1313,,,
van,1282,,,
black sedan,1235,,,
stops,1208,,,
a gray sedan,1197,,,
down the road,1184,,,
at the intersection,1176,,,
red suv,1113,,,
white sedan,1099,,,
down a,1096,,,
a black sedan,1054,,,
parked,1018,,,
drives down,1009,,,
dark,989,,,
going straight down,987,,,
drives straight,947,,,
wagon,922,,,
grey,913,,,
stops at,910,,,
at an,906,,,
turn,899,,,
suv drives,896,,,
street with,896,,,
at an intersection,896,,,
lane,891,,,
a white sedan,877,,,
behind a,853,,,
a dark,845,,,
the street with,838,,,
following,831,,,
suv turns,830,,,
straight on,822,,,
silver sedan,815,,,
sedan drives,785,,,
black suv runs,776,,,
small,771,,,
suv keeps,768,,,
hatchback,767,,,
turning,766,,,
suv keeps straight,758,,,
parking,743,,,
a red suv,736,,,
a silver sedan,735,,,
then,708,,,
suv goes,697,,,
silver suv,685,,,
other,679,,,
parked cars,660,,,
driving,658,,,
suv is,655,,,
red sedan,654,,,
through,626,,,
in the,626,,,
drives down the,622,,,
white vehicle,622,,,
white pickup,598,,,
gray suv runs,595,,,
sedan going,589,,,
blue suv,588,,,
the right,581,,,
a silver suv,572,,,
jeep,571,,,
truck runs,565,,,
keeping,560,,,
keeping straight,551,,,
vehicles,548,,,
suv goes straight,538,,,
sedan turns,532,,,
side,522,,,
traffic,520,,,
sedan going straight,520,,,
truck runs down,519,,,
a white pickup,518,,,
a red sedan,514,,,
black vehicle,514,,,
stops at the,512,,,
large,509,,,
another white,503,,,
passing,503,,,
suv stops,503,,,
maroon,495,,,
white van,495,,,
stopped,495,,,
a small,494,,,
another black,490,,,
another vehicle,479,,,
street and,477,,,
straight on the,477,,,
follows,476,,,
sedan keeps,474,,,
on the street,472,,,
is going,469,,,
pickup truck runs,463,,,
blue sedan,453,,,
suv going,451,,,
sedan keeps straight,443,,,
and then,434,,,
stop,429,,,
passes,427,,,
a white van,425,,,
white pickup truck,420,,,
suv stops at,419,,,
suv turns right,417,,,
sedan goes,416,,,
is driving,415,,,
the street and,413,,,
white suv runs,413,,,
to the,410,,,
is going straight,409,,,
left at,409,,,
black pickup,407,,,
gray sedan runs,401,,,
after,401,,,
red pickup,401,,,
a large,401,,,
a left,400,,,
suv turns left,398,,,
following a,396,,,
a grey,396,,,
light,391,,,
grey suv,391,,,
a blue suv,391,,,
intersection and,389,,,
continues,387,,,
a maroon,385,,,
on a,383,,,
suv drives down,383,,,
straight followed,383,,,
straight followed by,383,,,
straight and,379,,,
right at,379,,,
suv going straight,378,,,
left turn,377,,,
stopped at,367,,,
straight down a,365,,,
black sedan runs,363,,,
turning left,363,,,
drives down a,362,,,
street behind,358,,,
a red pickup,356,,,
driving straight,354,,,
another white vehicle,352,,,
parking on,349,,,
red vehicle,346,,,
a black pickup,345,,,
white car,344,,,
parking on the,344,,,
by a white,341,,,
by another black,340,,,
behind another,339,,,
the side,339,,,
on the side,339,,,
with cars,338,,,
street with cars,338,,,
by another white,337,,,
green,336,,,
another black vehicle,336,,,
straight in,335,,,
turning right,335,,,
a blue sedan,333,,,
the street behind,332,,,
cars parking,332,,,
with cars parking,332,,,
cars parking on,332,,,
before,331,,,
straight through,329,,,
turns left at,329,,,
a street,326,,,
other cars,326,,,
midsize,325,,,
a left turn,322,,,
keeps straight down,314,,,
goes down,312,,,
and turns,312,,,
moving,310,,,
suv drives straight,309,,,
a road,309,,,
front,308,,,
makes,308,,,
right lane,306,,,
through an,301,,,
through an intersection,301,,,
drives straight down,301,,,
sedan drives straight,301,,,
the left,300,,,
a right,299,,,
a stop,298,,,
black car,298,,,
goes down the,298,,,
turns right at,298,,,
gray pickup,295,,,
keep,294,,,
past,292,,,
black pickup truck,292,,,
red pickup truck,289,,,
the right lane,288,,,
lot,286,,,
coupe,286,,,
makes a,281,,,
follows a,280,,,
in front,278,,,
busy,277,,,
slowly,274,,,
by another vehicle,274,,,
keep straight,273,,,
curvy,272,,,
a curvy,272,,,
straight behind,270,,,
right turn,270,,,
curvy road,269,,,
a curvy road,269,,,
with a,268,,,
street following,268,,,
the street following,268,,,
stops at an,266,,,
sedan turns right,265,,,
another car,265,,,
van runs,263,,,
a gray pickup,262,,,
sedan is,262,,,
sedan drives down,262,,,
right and,261,,,
making,261,,,
onto,258,,,
white sedan runs,255,,,
goes straight down,254,,,
and passes,253,,,
road followed,252,,,
road followed by,252,,,
a white vehicle,252,,,
runs on,251,,,
making a,250,,,
at a,248,,,
crosses,247,,,
at intersection,247,,,
sedan goes straight,245,,,
parking lot,245,,,
runs on the,244,,,
stopping,244,,,
sign,242,,,
cargo,240,,,
white suv drives,238,,,
street passing,237,,,
red van,236,,,
a right turn,236,,,
along,235,,,
a green,233,,,
following another,233,,,
intersection followed,233,,,
intersection followed by,233,,,
front of,232,,,
in front of,232,,,
down a road,232,,,
stop sign,232,,,
forward,231,,,
gray pickup truck,231,,,
sedan turns left,231,,,
two,230,,,
straight behind a,227,,,
straight in the,226,,,
pick,225,,,
pick up,225,,,
the intersection and,224,,,
other vehicles,222,,,
line,222,,,
through the,219,,,
maroon suv,219,,,
a busy,219,,,
red car,218,,,
down a curvy,218,,,
black suv drives,216,,,
dark red,215,,,
on the road,214,,,
white suv keeps,214,,,
a black car,214,,,
runs straight,212,,,
is driving straight,211,,,
grey sedan,210,,,
left lane,209,,,
of the,208,,,
gray wagon,208,,,
running,207,,,
moves,207,,,
left at an,206,,,
the road followed,205,,,
turn at,205,,,
red suv runs,205,,,
van runs down,204,,,
the street passing,204,,,
a light,203,,,
across,203,,,
another red,202,,,
car is,202,,,
to the right,201,,,
cargo truck,200,,,
along the,200,,,
the left lane,198,,,
a dark red,198,,,
the intersection followed,198,,,
mpv,197,,,
to a,197,,,
street behind a,197,,,
on the intersection,197,,,
straight on a,196,,,
a white car,195,,,
truck turns,195,,,
keeps straight followed,194,,,
a pickup,192,,,
going down,192,,,
a gray wagon,192,,,
white wagon,191,,,
sedan stops,191,,,
stopped at the,191,,,
sedan keeping,190,,,
sedan keeping straight,190,,,
straight through an,190,,,
down a street,189,,,
straight following,185,,,
takes,185,,,
gray sedan going,185,,,
left on,185,,,
past parked,185,,,
past parked cars,185,,,
a white wagon,184,,,
of a,182,,,
suv is driving,182,,,
a parking,181,,,
truck drives,179,,,
lane to,178,,,
blue car,178,,,
gray suv turns,178,,,
truck keeps,177,,,
continues straight,177,,,
right at the,177,,,
gray vehicle,177,,,
by a black,177,,,
dark suv,177,,,
on the right,176,,,
black wagon,175,,,
white sedan drives,175,,,
switches,174,,,
keeps straight on,174,,,
a stop sign,174,,,
bus,174,,,
truck keeps straight,173,,,
straight at,172,,,
crossover,172,,,
a maroon suv,172,,,
cars parked,171,,,
minivan,170,,,
up truck,170,,,
pick up truck,170,,,
white suv stops,169,,,
suv is going,168,,,
purple,168,,,
black suv keeps,167,,,
blue pickup,167,,,
then turns,167,,,
goes straight on,166,,,
suv follows,166,,,
silver sedan runs,166,,,
turns right and,166,,,
some,166,,,
blue suv runs,165,,,
a parking lot,165,,,
along the street,165,,,
crossing,164,,,
white hatchback,164,,,
a red vehicle,164,,,
white suv turns,164,,,
red sedan runs,163,,,
truck going,163,,,
brown,163,,,
a black vehicle,163,,,
pickup truck keeps,162,,,
keeps straight behind,162,,,
wagon turns,162,,,
line of,161,,,
a pickup truck,160,,,
a brown,160,,,
wagon going,160,,,
black suv stops,160,,,
through the intersection,158,,,
a red van,158,,,
a grey suv,158,,,
a dark suv,158,,,
truck is,157,,,
an intersection and,157,,,
black suv turns,156,,,
gray sedan drives,155,,,
white suv is,154,,,
moving straight,154,,,
a black wagon,154,,,
wagon runs,153,,,
intersection before,153,,,
a midsize,152,,,
takes a,152,,,
behind a white,152,,,
behind a black,152,,,
suv goes down,151,,,
another red vehicle,151,,,
a blue pickup,150,,,
left and,150,,,
hill,149,,,
car is going,148,,,
of cars,148,,,
all,148,,,
right at an,147,,,
making a left,147,,,
and keeps,146,,,
going down a,146,,,
truck going straight,145,,,
road and,145,,,
black suv is,143,,,
ahead,143,,,
by a red,143,,,
wagon runs down,143,,,
black jeep,143,,,
dark gray,143,,,
driving down,142,,,
is stopped,142,,,
in the left,141,,,
black suv goes,141,,,
red suv going,141,,,
busy road,140,,,
suv follows a,140,,,
