phrase,frequency,category,parent_node,notes
suv,850,,,
street,713,,,
straight,699,,,
sedan,664,,,
white,635,,,
runs,508,,,
black,496,,,
intersection,403,,,
gray,361,,,
turns,357,,,
left,351,,,
red,321,,,
right,311,,,
truck,289,,,
followed,274,,,
pickup,269,,,
white suv,240,,,
suv runs,216,,,
road,211,,,
silver,209,,,
keeps,197,,,
keeps straight,194,,,
drives,189,,,
vehicle,188,,,
turns left,185,,,
pickup truck,180,,,
another,171,,,
black suv,161,,,
turns right,161,,,
car,160,,,
going,157,,,
blue,156,,,
sedan runs,153,,,
going straight,132,,,
street followed,125,,,
gray suv,123,,,
white sedan,122,,,
goes,122,,,
black sedan,120,,,
stops,118,,,
gray sedan,116,,,
silver sedan,110,,,
behind,108,,,
traffic,106,,,
turn,105,,,
cars,103,,,
red suv,98,,,
suv turns,98,,,
van,94,,,
dark,92,,,
wagon,87,,,
lane,78,,,
turning,78,,,
goes straight,76,,,
sedan drives,74,,,
small,72,,,
sedan turns,71,,,
suv keeps,70,,,
grey,69,,,
parked,69,,,
white pickup,67,,,
hatchback,65,,,
vehicles,63,,,
following,63,,,
drives straight,63,,,
large,63,,,
truck runs,62,,,
red sedan,59,,,
left turn,59,,,
sedan keeps,55,,,
suv drives,53,,,
parked cars,53,,,
passing,52,,,
busy,50,,,
stop,48,,,
black pickup,47,,,
black vehicle,46,,,
red pickup,43,,,
keeping,43,,,
keeping straight,43,,,
sedan going,43,,,
blue sedan,43,,,
driving,42,,,
past,42,,,
road followed,41,,,
parking,41,,,
silver suv,38,,,
front,38,,,
white vehicle,38,,,
turning right,37,,,
line,37,,,
onto,36,,,
turning left,36,,,
gray pickup,35,,,
stopped,35,,,
passes,34,,,
straight followed,34,,,
white car,33,,,
past parked,33,,,
midsize,32,,,
another vehicle,32,,,
dark suv,32,,,
straight behind,32,,,
maroon,31,,,
another black,31,,,
lot,31,,,
another white,31,,,
follows,31,,,
keep,31,,,
pass,31,,,
grey suv,30,,,
coupe,30,,,
sedan goes,30,,,
makes,30,,,
suv stops,30,,,
making,30,,,
green,29,,,
continues,29,,,
light,29,,,
truck turns,29,,,
along,28,,,
stopping,28,,,
busy road,28,,,
behind traffic,28,,,
white van,28,,,
jeep,28,,,
red car,27,,,
right lane,27,,,
cargo,27,,,
suv goes,27,,,
parking lot,27,,,
dark red,26,,,
cars followed,25,,,
highway,24,,,
black truck,24,,,
black wagon,24,,,
cargo truck,23,,,
blue suv,23,,,
keep straight,23,,,
way,23,,,
crossover,22,,,
straight along,22,,,
truck keeps,21,,,
driving straight,21,,,
red van,21,,,
silver pickup,21,,,
right turn,21,,,
street following,21,,,
ahead,21,,,
sedan stops,21,,,
runs straight,20,,,
gray hatchback,20,,,
left lane,20,,,
red vehicle,20,,,
wagon turns,20,,,
pick,20,,,
went,20,,,
following another,19,,,
moves,19,,,
two,19,,,
suv keeping,19,,,
small white,19,,,
dark gray,19,,,
street passing,18,,,
pickup turns,18,,,
straight ahead,18,,,
purple,18,,,
small gray,18,,,
bus,18,,,
forward,17,,,
moving,17,,,
minivan,17,,,
truck drives,17,,,
black car,17,,,
switches,17,,,
coming,17,,,
blue pickup,17,,,
another car,17,,,
went straight,17,,,
gray wagon,17,,,
van keeps,17,,,
truck pass,17,,,
pass white,17,,,
stop behind,17,,,
white truck,16,,,
white wagon,16,,,
sign,16,,,
door,16,,,
maroon suv,16,,,
slowly,16,,,
merges,16,,,
passing parked,16,,,
main,16,,,
main street,16,,,
running,15,,,
truck going,15,,,
crosses,15,,,
side,15,,,
hatchback going,15,,,
wagon went,15,,,
purple suv,15,,,
drives past,15,,,
truck stops,15,,,
takes,15,,,
suv making,15,,,
white coupe,15,,,
mpv,14,,,
behind another,14,,,
blue vehicle,14,,,
suv passes,14,,,
suv continues,14,,,
another red,13,,,
blue car,13,,,
next,13,,,
grey sedan,13,,,
passes parked,13,,,
another dark,13,,,
street past,13,,,
cross,13,,,
hill,12,,,
car drives,12,,,
large white,12,,,
red hatchback,12,,,
crossing,12,,,
left onto,12,,,
silver vehicle,12,,,
white pick,12,,,
sedan turning,12,,,
van turns,12,,,
hatchback turns,12,,,
made,12,,,
suv made,12,,,
merges right,12,,,
stop sign,12,,,
road following,12,,,
busy street,12,,,
red wagon,11,,,
continues straight,11,,,
pickup runs,11,,,
door sedan,11,,,
big,11,,,
turn left,11,,,
right onto,11,,,
curvy,11,,,
curvy road,11,,,
sedan stopped,11,,,
large suv,11,,,
midsize suv,11,,,
midsized,11,,,
wagon goes,11,,,
houses,11,,,
first,11,,,
straight following,10,,,
hatchback runs,10,,,
van drives,10,,,
yellow,10,,,
slows,10,,,
across,10,,,
blue jeep,10,,,
twolane,10,,,
turn onto,10,,,
twolane street,10,,,
ford,10,,,
van stopped,10,,,
pedestrian,10,,,
stops behind,10,,,
shadowed,10,,,
shadowed suv,10,,,
pickup merges,10,,,
vehicles passing,10,,,
jeep goes,10,,,
forwards,10,,,
golden,10,,,
golden sedan,10,,,
suv makes,10,,,
many,9,,,
wagon runs,9,,,
suv going,9,,,
street behind,9,,,
van runs,9,,,
continues forward,9,,,
turn right,9,,,
sedan follows,9,,,
black van,9,,,
white hatchback,9,,,
parked vehicles,9,,,
grey midsize,9,,,
right followed,9,,,
rounds,9,,,
bend,9,,,
pickup rounds,9,,,
gray crossover,9,,,
turned,9,,,
turned left,9,,,
car followed,9,,,
suv keep,9,,,
brown,8,,,
white cargo,8,,,
empty,8,,,
silver wagon,8,,,
car keeps,8,,,
waiting,8,,,
red door,8,,,
sedan switches,8,,,
slightly,8,,,
road behind,8,,,
coup,8,,,
pickup keep,8,,,
keep street,8,,,
first stops,8,,,
mustang,8,,,
white ford,8,,,
ford mustang,8,,,
mustang runs,8,,,
coupe turning,8,,,
way stop,8,,,
many vehicles,8,,,
another silver,7,,,
red truck,7,,,
intersection behind,7,,,
trailer,7,,,
runs across,7,,,
uturn,7,,,
comes,7,,,
proceeds,7,,,
stopping behind,7,,,
pickup goes,7,,,
pedestrian pass,7,,,
oncoming,7,,,
road past,7,,,
past oncoming,7,,,
oncoming traffic,7,,,
suv takes,7,,,
light gray,7,,,
crossover turning,7,,,
switches lane,7,,,
green bus,7,,,
maroon sedan,6,,,
middle,6,,,
running straight,6,,,
wagon drives,6,,,
moves straight,6,,,
without,6,,,
back,6,,,
signal,6,,,
intersection followed,6,,,
truck goes,6,,,
passed,6,,,
dodge,6,,,
traffic light,6,,,
sedan makes,6,,,
moving straight,6,,,
curve,6,,,
travels,6,,,
small suv,6,,,
right side,6,,,
sedan keeping,6,,,
taking,6,,,
gray coup,6,,,
coup goes,6,,,
cars parking,6,,,
truck stopping,6,,,
continues forwards,6,,,
black jeep,6,,,
midsized dark,6,,,
moves slowly,6,,,
vehicles parking,6,,,
group,5,,,
another gray,5,,,
blue hatchback,5,,,
blue wagon,5,,,
switch,5,,,
small blue,5,,,
hatchback drives,5,,,
fast,5,,,
suv crosses,5,,,
suv moves,5,,,
black coupe,5,,,
coupe runs,5,,,
yellow sedan,5,,,
large gray,5,,,
large black,5,,,
follows another,5,,,
blue truck,5,,,
midsize pickup,5,,,
gray vehicle,5,,,
another sedan,5,,,
white mpv,5,,,
suvs,5,,,
black hatchback,5,,,
proceeds straight,5,,,
gray van,5,,,
continuing,5,,,
continuing straight,5,,,
alone,5,,,
lanes,5,,,
cars parked,5,,,
make,5,,,
right along,5,,,
pictured,5,,,
pictured running,5,,,
green suv,5,,,
bike,5,,,
rack,5,,,
bike rack,5,,,
suv stopping,5,,,
vechicle,5,,,
another vechicle,5,,,
suburu,5,,,
forester,5,,,
suburu forester,5,,,
sliver,5,,,
dark blue,5,,,
waits,5,,,
coach,5,,,
blue coach,5,,,
sedan car,5,,,
small red,5,,,
white jeep,5,,,
gray minivan,5,,,
briefly,5,,,
sedan making,5,,,
begins,4,,,
large cargo,4,,,
intersection next,4,,,
dirty,4,,,
pulling,4,,,
long,4,,,
grey car,4,,,
wagon going,4,,,
blue van,4,,,
van stops,4,,,
large hatchback,4,,,
left followed,4,,,
orange,4,,,
suv follows,4,,,
deep,4,,,
black pick,4,,,
alongside,4,,,
street alongside,4,,,
large pickup,4,,,
enters,4,,,
direction,4,,,
road passing,4,,,
sedan crosses,4,,,
intersection following,4,,,
switch lane,4,,,
moves forward,4,,,
follow,4,,,
van turning,4,,,
midsize black,4,,,
suv driving,4,,,
suv taking,4,,,
switching,4,,,
turns slightly,4,,,
slightly right,4,,,
end,4,,,
suv running,4,,,
driving forwards,4,,,
sedan followed,4,,,
suv first,4,,,
driver,4,,,
truck making,4,,,
mpv turns,4,,,
forester takes,4,,,
takes right,4,,,
sliver suv,4,,,
vehicle turns,4,,,
pulls,4,,,
nearby,4,,,
car turns,4,,,
small road,4,,,
suv comes,4,,,
sedan first,4,,,
groups,4,,,
sides,4,,,
jeep turns,4,,,
corner,4,,,
